Genome	M1C	M2C	M3C	M4C	Marinobacter_CB1	Marinobacter_CBIA	Marinobacter_CBIW17	Marinobacter_CBIW18	adhaerens	algicola	antarcticus	aromaticivorans	bohaiensis	changyiensis	confluentis	daepoensis	daqiaonensis	excellens	flavimaris	fonticola	fuscus	gelidimuriae	gudaonensis	guineae	halophilus	halotolerans	hydrocarbonoclasticus	lipolyticus	litoralis	lutaoensis	manganoxydans	maritimus	mobilis	nanhaiticus	nitratireducens	pelagius	persicus	piscensis	profundi	psychrophilus	salarius	salexigens	salicampi	salinus	salsuginis	santoriniensis	segnicrescens	shengliensis	similis	subterrani	vinifirmus	vulgaris	zhejiangensis
Ketopantoate hydroxymethyltransferase	2	2	2	2	0	3	2	3	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	3
Succinyl-CoA synthetase, beta subunit	3	3	3	3	3	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	4	2	2	2	3	2	2	2	2	2	2	2	2	2
UDP-2,3-diacylglucosamine pyrophosphatase LpxH	2	2	2	2	2	2	1	1	3	3	2	2	3	2	2	3	2	3	3	3	2	2	3	3	3	2	3	3	2	3	3	2	3	3	3	3	2	2	3	2	3	2	2	3	3	3	3	3	3	3	3	2	3
Transposase	48	49	65	49	31	28	30	37	0	6	3	11	1	11	2	7	2	13	4	4	47	79	1	5	6	1	6	9	2	10	22	7	0	21	1	7	15	9	5	8	8	9	3	9	2	4	59	4	0	22	22	3	3
Acetyl-CoA acetyltransferase	10	10	12	10	14	8	9	13	11	12	8	12	10	12	6	7	9	6	9	10	9	7	8	9	6	9	7	9	7	8	9	9	6	10	8	8	2	11	12	9	10	7	12	10	8	10	11	6	12	10	10	8	8
1-acyl-sn-glycerol-3-phosphate acyltransferase	4	4	7	4	4	5	7	5	9	8	6	5	9	6	7	8	6	9	9	7	6	4	8	7	7	8	8	9	9	9	9	6	8	9	9	8	6	5	8	6	8	6	8	8	9	9	7	9	13	8	8	6	8
Bacterial nucleoid DNA-binding protein	3	3	3	3	3	3	2	2	4	4	4	4	4	4	4	4	3	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	4	4	4	4	4	4	3	4	4	5	4	4	4
Pyrroloquinoline quinone (PQQ) biosynthesis protein C	2	2	2	2	2	1	3	2	2	2	0	2	2	2	2	2	3	2	2	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2
TRAP-type C4-dicarboxylate transport system, periplasmic component	26	26	32	26	15	20	7	25	5	9	7	7	13	13	7	6	13	4	7	5	12	9	7	11	4	3	3	5	4	6	6	9	1	11	3	8	3	2	12	13	9	7	6	8	7	6	23	4	12	11	6	4	4
Long-chain acyl-CoA synthetase (AMP-forming)	3	3	2	3	2	3	4	5	4	3	4	4	1	5	2	3	2	2	4	1	1	2	3	4	2	3	3	3	2	3	4	4	4	3	3	4	2	1	5	2	3	3	3	4	4	3	4	3	5	3	3	3	3
Biotin carboxyl carrier protein	3	3	3	3	2	3	2	3	3	3	3	3	3	4	2	3	3	2	2	3	3	2	3	3	2	2	3	3	3	3	2	3	3	3	3	2	2	3	3	3	3	3	2	4	3	3	2	2	2	3	3	2	3
Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD	3	3	3	3	3	2	1	4	4	6	3	4	5	5	3	4	3	4	3	3	1	2	4	5	5	7	3	7	3	4	3	2	9	4	6	3	0	3	5	3	4	3	6	3	3	6	2	4	5	4	4	2	7
3-oxoacyl-(acyl-carrier-protein) synthase	2	2	5	2	1	4	5	5	4	3	3	2	3	6	2	2	2	2	3	2	2	6	3	3	2	2	2	3	2	3	3	3	3	3	3	3	4	2	3	2	3	2	3	3	3	3	2	2	5	3	2	2	3
ABC-type branched-chain amino acid transport system, ATPase component	16	16	17	16	15	15	11	19	14	21	15	10	10	28	4	7	17	6	12	13	10	9	5	16	5	4	7	7	7	8	9	12	6	14	8	10	3	10	16	14	17	8	15	18	12	9	21	6	5	13	7	6	5
Predicted epimerase YddE/YHI9, PhzF superfamily	3	3	4	3	3	3	1	3	3	2	1	0	2	2	4	2	2	2	2	2	1	0	1	1	2	2	4	1	2	1	1	2	2	3	2	1	1	0	1	2	2	1	1	2	2	2	2	2	2	1	1	2	2
NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase	5	5	5	5	5	2	2	7	5	3	3	6	3	3	3	4	1	5	6	4	3	3	3	4	3	3	6	5	4	3	6	2	6	4	4	5	3	3	6	5	3	5	4	4	4	4	3	5	7	3	3	4	5
FoF1-type ATP synthase, beta subunit	2	2	2	2	3	3	3	3	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	2	1	2	2	2	1	2	1	2	1	3	1	1	2	2	1	2	2
Transposase (or an inactivated derivative)	15	14	9	14	2	2	5	1	0	0	0	2	0	0	0	0	0	0	3	0	18	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	6	0	0	0	9	2	0
DNA-binding beta-propeller fold protein YncE	4	4	3	4	4	3	3	3	4	5	1	5	5	5	3	5	4	2	3	1	6	4	3	6	5	1	5	5	5	2	3	6	3	3	7	3	3	3	9	3	5	4	4	4	3	3	6	5	5	3	8	2	4
ABC-type branched-chain amino acid transport system, periplasmic component	10	10	14	10	9	10	9	14	12	13	10	10	8	17	4	6	14	5	12	8	6	5	5	14	5	3	6	6	5	7	7	10	8	12	7	7	3	6	12	11	11	5	11	16	10	8	14	6	4	9	6	7	5
Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II	11	11	13	11	13	14	10	15	9	9	10	11	6	18	5	10	20	7	10	10	10	9	7	10	6	6	8	7	10	7	10	9	6	9	7	9	3	13	16	9	10	7	13	9	9	10	37	7	13	9	7	6	10
Zn-dependent alcohol dehydrogenase	2	2	3	2	3	2	1	3	2	3	1	4	2	3	2	2	3	1	3	2	1	2	1	2	1	2	2	3	1	1	3	3	1	3	2	2	1	4	2	2	4	2	4	2	3	2	3	1	4	2	3	2	1
Ca2+/Na+ antiporter	3	3	3	3	3	3	2	3	2	3	2	2	3	3	2	2	5	1	3	4	3	2	4	3	2	3	3	3	1	2	3	1	2	4	1	2	2	2	1	2	3	1	6	2	3	1	3	2	3	3	2	3	1
Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family	4	4	4	4	3	2	0	2	2	2	2	1	3	3	0	1	1	1	3	3	0	0	2	2	1	1	1	1	2	2	2	3	1	4	1	2	0	2	1	0	2	2	0	1	2	2	2	1	3	2	2	1	1
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	3	3	3	3	4	3	0	2	2	2	3	2	2	3	2	2	4	3	2	2	2	4	2	4	3	2	2	4	2	2	2	2	3	2	4	3	2	4	2	2	3	2	4	2	3	3	3	2	3	2	3	2	2
Enolase	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	2	1	2	1
Dihydroxyacid dehydratase/phosphogluconate dehydratase	6	6	9	6	4	8	7	7	3	3	3	3	5	4	2	2	3	3	3	5	3	1	3	3	3	2	3	3	3	3	3	4	2	6	2	3	3	3	2	2	3	3	3	3	3	3	3	3	4	3	3	3	2
Glycerol kinase	2	2	2	2	3	4	4	2	2	2	1	1	1	1	2	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	1	1	0	1	1	2	2	1	1	1	1	1	1	2	3	2	1	2	1
Branched-chain amino acid ABC-type transport system, permease component	8	8	10	8	7	8	8	10	8	11	8	5	6	14	3	4	9	4	7	7	7	5	3	9	3	3	4	4	4	5	5	6	3	8	5	5	2	5	9	9	9	4	9	10	7	5	11	4	3	7	4	4	3
Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit	2	2	1	2	2	1	1	2	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	1	2	2	1	1	1	2	2	1	2	1	2	2
Tfp pilus assembly protein, ATPase PilU	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	3	1	2	2	1	1	3	1	1	1	1	2	1	2	2	2	2	1	4	2	2
4-aminobutyrate aminotransferase or related aminotransferase	3	3	3	3	4	6	3	3	2	2	3	2	3	3	1	2	2	2	2	3	3	2	2	3	2	1	3	3	3	3	2	3	2	3	3	3	2	2	2	3	2	2	2	3	2	3	2	3	5	2	2	1	1
Homoaconitase/3-isopropylmalate dehydratase large subunit	3	3	2	3	2	3	3	2	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
3-hydroxyacyl-CoA dehydrogenase	4	4	3	4	6	3	3	6	4	4	3	3	3	3	2	2	5	1	3	3	4	4	2	3	1	2	2	3	3	4	3	4	1	3	2	3	1	4	4	3	4	3	3	4	3	3	5	1	5	3	2	2	2
Signal transduction histidine kinase	6	6	6	6	6	6	5	10	8	7	5	12	5	5	7	8	5	4	4	4	8	8	6	5	6	6	8	4	6	7	7	11	4	9	4	3	3	3	7	6	7	7	3	5	7	5	8	5	11	7	8	4	5
Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	3	3	3	3	3	3	2	3	3	3	3	2	2	2	2	3	2	3	4	3	2	2	2	4	2	2	3	2	2	3	5	2	1	2	2	5	3	2	2	2	2	3	3	3	3	2	4	2	2	2	5	3	2
Mannose-6-phosphate isomerase, cupin superfamily	5	5	2	5	3	5	2	5	3	4	2	0	3	1	3	1	2	1	2	2	1	1	1	2	2	1	1	2	2	0	2	1	2	3	1	4	1	0	2	4	2	1	1	4	1	3	1	1	3	3	1	1	0
ABC-type branched-chain amino acid transport system, permease component	8	8	10	8	7	8	7	10	8	12	8	5	6	13	3	4	9	4	7	7	5	5	3	9	3	3	4	4	4	5	5	6	3	8	5	5	2	5	9	7	9	4	8	10	7	5	11	4	6	7	3	4	3
Polyferredoxin	4	4	4	4	4	4	3	7	4	2	1	4	1	3	2	5	3	2	4	1	4	3	3	4	5	1	5	5	4	2	3	4	2	1	6	3	4	3	3	4	2	3	3	3	4	4	2	4	7	5	4	3	3
Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family	2	2	2	2	2	2	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	1	1	2	1	2	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
Negative regulator of GroEL, contains thioredoxin-like and TPR-like domains	3	3	3	3	2	2	2	2	4	3	3	3	5	4	3	3	3	3	4	3	3	2	3	3	3	3	5	3	4	3	5	4	3	5	3	3	3	3	3	3	3	4	3	3	4	3	3	3	5	3	4	3	3
Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, incolved in TypeVI secretion	2	2	3	2	0	1	1	3	1	3	1	2	2	0	4	2	0	8	1	4	1	1	1	0	2	1	2	4	1	2	0	1	1	1	2	2	0	1	2	1	3	1	0	0	1	1	1	6	2	4	1	0	1
Heme-degrading monooxygenase HmoA and related ABM domain proteins	8	8	3	8	2	3	5	5	4	4	1	3	7	3	4	5	3	1	3	7	4	5	3	4	3	2	4	5	2	1	1	3	2	7	2	3	1	3	1	5	5	3	5	2	3	4	3	4	4	2	2	3	5
S-formylglutathione hydrolase FrmB	2	2	2	2	2	2	1	2	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1
Choline-glycine betaine transporter	6	6	6	6	4	8	5	9	4	4	3	7	5	5	5	6	6	3	5	5	2	3	2	3	5	4	4	4	5	1	6	4	2	6	3	2	4	9	4	6	4	7	6	4	3	2	6	4	3	2	3	5	2
Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	2	2	2	2	1	3	2	2	3	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1
DNA replication protein DnaC	7	7	6	7	5	4	5	6	0	2	0	2	0	2	0	0	0	12	3	1	2	5	0	0	1	0	0	0	0	0	2	5	0	0	0	0	2	0	0	1	0	2	1	0	0	2	11	1	0	7	3	0	0
Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	2	2	2	2	1	1	2	5	3	3	3	2	2	3	3	1	3	2	3	3	1	1	2	3	4	3	1	2	1	1	3	3	1	2	2	2	2	2	1	2	3	2	6	3	2	2	2	2	2	3	1	2	1
Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA)	2	2	2	2	2	3	1	2	1	3	1	3	1	2	1	1	2	1	3	1	1	6	1	3	1	1	1	1	1	1	5	1	1	2	1	1	1	0	2	2	1	1	3	1	1	0	5	2	4	1	2	1	1
Ammonia channel protein AmtB	2	2	2	2	3	1	4	4	2	2	2	1	3	2	2	1	2	1	2	2	1	1	2	2	1	2	2	2	1	2	3	2	2	2	2	1	2	0	2	1	2	1	1	2	2	2	2	1	6	2	1	1	2
Site-specific recombinase XerD	37	37	17	37	12	4	12	7	4	3	2	4	3	5	3	5	3	3	4	4	25	23	3	3	4	3	6	3	4	5	11	3	2	4	5	4	9	3	4	4	5	2	5	5	3	8	6	4	4	4	4	3	4
Autotransporter translocation and assembly factor TamB	4	4	5	4	3	7	5	7	5	5	5	5	4	4	6	6	3	4	4	6	6	3	5	5	4	3	5	4	4	3	4	6	5	4	3	4	3	4	7	4	5	4	4	5	5	3	3	4	10	5	6	4	6
Carbamoylphosphate synthase large subunit	1	1	1	1	2	2	3	3	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	3	1	1	1	1
Pimeloyl-ACP methyl ester carboxylesterase	3	3	6	3	5	4	2	4	8	11	3	5	8	6	10	4	8	5	5	9	2	2	7	7	4	10	5	9	6	7	6	10	13	12	8	6	2	3	4	5	9	3	13	4	5	8	3	5	6	5	5	8	11
Uncharacterized conserved protein	16	16	17	16	14	8	9	9	15	21	10	11	17	16	19	15	16	11	20	20	11	15	18	17	13	11	12	19	14	9	13	11	13	17	11	15	14	10	17	10	23	14	18	14	15	14	15	15	18	14	15	14	17
3-isopropylmalate dehydratase small subunit	3	3	2	3	2	2	3	3	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
Catalase (peroxidase I)	2	2	2	2	3	3	2	5	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
DNA-binding transcriptional regulator, MarR family	4	4	4	4	4	5	4	3	5	5	5	7	9	4	3	3	3	3	5	5	3	3	3	5	3	4	5	5	4	5	3	6	6	8	4	4	5	2	5	6	5	3	3	5	4	7	5	4	7	5	4	3	5
2-keto-3-deoxy-6-phosphogluconate aldolase	2	2	3	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Transposase and inactivated derivatives	15	15	20	15	6	3	6	6	5	13	3	0	0	7	4	3	1	8	4	8	1	3	1	3	4	1	4	0	3	4	8	10	10	5	0	5	2	2	3	6	4	8	2	1	5	7	11	2	2	8	12	6	3
Predicted arabinose efflux permease, MFS family	19	19	16	19	22	20	17	15	19	14	18	16	25	14	14	14	18	14	14	17	16	17	13	16	13	14	15	12	9	16	14	15	10	20	13	15	18	14	18	13	18	14	11	14	14	21	17	13	21	17	13	13	8
Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	5	5	6	5	4	5	2	5	6	2	5	4	5	6	4	4	6	7	5	3	6	4	4	7	4	4	5	6	5	5	4	3	8	4	4	9	4	3	6	3	4	5	3	5	4	6	5	5	4	6	5	6	6
Tryptophan synthase beta chain	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	3	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2
Prolipoprotein diacylglyceryltransferase	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1
Type VI protein secretion system component Hcp (secreted cytotoxin)	8	7	8	8	8	11	7	11	1	1	1	1	3	0	1	1	0	3	1	3	1	0	1	0	3	1	2	2	2	1	3	4	2	4	2	1	0	1	1	0	1	1	0	0	1	1	0	5	1	1	1	0	2
Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component	4	4	4	4	4	4	5	6	5	3	3	3	4	4	5	3	4	3	3	5	3	5	3	3	3	3	3	4	3	3	3	3	3	4	3	4	2	3	3	3	3	3	4	3	3	3	4	3	5	6	3	5	3
Molecular chaperone DnaK (HSP70)	1	1	1	1	4	2	2	3	1	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	2
DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	21	21	21	21	18	21	15	20	26	25	24	25	30	23	22	25	19	25	27	24	24	15	23	29	22	24	26	23	22	26	30	30	26	34	23	16	21	16	21	19	23	25	21	25	30	26	20	23	28	27	16	22	24
Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	21	21	25	21	22	24	17	27	14	18	12	12	18	16	9	9	12	7	13	12	7	13	9	17	8	8	7	11	10	10	15	17	9	14	8	14	6	14	12	18	15	18	12	16	13	13	13	8	12	13	9	11	10
Acetyl esterase/lipase	4	4	4	4	3	4	3	5	3	4	3	4	3	3	2	4	4	3	3	2	2	3	3	4	4	3	3	2	2	2	3	3	3	3	2	3	1	2	3	2	3	3	4	2	3	2	3	4	5	2	3	4	3
Multidrug efflux pump subunit AcrB	8	8	8	8	8	9	11	9	10	9	7	11	11	10	8	9	8	12	11	7	12	5	8	9	8	9	11	9	8	7	12	10	8	10	8	8	15	9	11	9	8	11	11	8	8	6	9	9	16	9	10	11	7
Trk-type K+ transport system, membrane component	3	3	3	3	1	2	3	2	1	1	3	1	2	1	1	1	3	1	1	4	1	1	4	4	1	1	2	1	1	1	1	1	1	4	2	1	4	1	2	1	1	1	2	2	1	4	1	4	1	3	1	1	2
Phosphoribosyl-AMP cyclohydrolase	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	3	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1
Glycine/serine hydroxymethyltransferase	2	2	2	2	1	2	0	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component or related enzyme	7	7	7	7	6	8	6	8	7	5	4	5	3	5	4	4	6	4	8	11	5	5	4	4	4	4	6	4	4	5	6	5	3	6	3	4	5	4	5	5	6	4	4	4	5	6	7	4	7	5	5	4	4
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	9	9	9	9	8	9	10	8	16	13	10	5	10	13	11	9	15	15	13	13	8	6	11	15	10	12	11	11	7	10	14	7	7	17	8	10	6	5	11	6	13	6	13	14	13	17	8	13	17	13	7	11	6
Uncharacterized protein involved in copper resistance	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	5	1	1	2	1	1	1	0	2	0	1	1	2	1	1	0	5	1	3	1	1	1	1
Acetoin utilization deacetylase AcuC or a related deacetylase	4	4	4	4	3	4	2	5	4	4	6	3	3	4	4	3	3	4	5	3	3	4	6	6	5	5	3	5	2	3	5	4	2	3	3	3	3	2	2	4	4	2	4	6	5	4	3	4	5	6	2	5	1
Ketol-acid reductoisomerase	1	1	1	1	3	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
TRAP-type uncharacterized transport system, fused permease components	7	7	6	7	11	5	6	13	2	3	3	3	3	5	3	2	5	1	2	4	4	3	4	3	1	3	2	3	3	5	8	4	2	3	2	3	2	3	6	6	5	2	5	2	2	2	4	2	10	3	4	1	2
23S rRNA G2445 N2-methylase RlmL	1	1	1	1	1	1	3	4	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
Malate synthase	1	1	1	1	1	1	3	4	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Molecular chaperone, HSP90 family	1	1	1	1	1	2	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2
Pyruvate dehydrogenase complex, dehydrogenase (E1) component	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1
Uncharacterized copper-binding protein, cupredoxin-like subfamily	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	0	2	1	1	1	1	1	1	1	2	3	4	3	1	1	1
Electron transfer flavoprotein, alpha and beta subunits	2	2	2	2	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1
Pyruvate kinase	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	3	1	1	2	2	1	1	1	1	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
L-2-hydroxyglutarate oxidase LhgO	4	4	4	4	4	4	3	4	3	3	3	3	3	3	3	3	4	4	3	3	2	2	3	3	3	3	4	3	3	2	3	3	2	2	4	2	1	3	2	4	3	3	4	3	3	4	3	3	5	3	3	3	2
Outer membrane protein (porin)	7	7	7	7	6	5	4	6	6	8	3	4	8	3	7	5	2	6	4	5	7	3	7	4	8	6	5	7	6	3	3	5	5	7	6	3	3	5	7	4	7	5	6	5	4	6	3	9	8	5	8	4	5
TRAP-type uncharacterized transport system, periplasmic component	8	8	7	8	8	7	2	7	2	3	3	3	3	5	3	2	5	1	2	4	4	4	4	3	1	3	2	3	3	4	5	4	2	3	2	3	2	3	6	7	5	2	5	2	2	2	6	2	4	3	4	1	2
Cupin domain protein related to quercetin dioxygenase	4	4	5	4	2	4	2	4	4	5	2	5	9	2	3	4	1	2	6	5	3	4	2	4	3	3	3	4	3	2	3	3	5	5	5	4	4	4	3	5	5	2	4	3	3	2	1	3	6	4	2	5	5
Biopolymer transport protein ExbB/TolQ	3	3	3	3	3	4	1	3	5	5	3	3	6	3	5	5	3	4	5	4	4	3	4	5	4	5	5	5	4	5	6	5	6	5	6	5	3	3	5	3	5	4	4	5	5	3	3	6	8	4	4	3	6
Rubredoxin	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	0	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1
